Activity ID,Activity Date,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Heart Rate,Average Heart Rate,Calories,Relative Effort,Grade Adjusted Distance
3733755854,"Jul 8, 2020, 8:29:38 PM",Run,2192,8.23,174,57,2192,8232.5,8.699999809,3.755702496,154.9575806,152.6575775,234.8999939,288.3999939,21.20000076,0.027938051,,153.777771,543,57,8610.900391
3738484895,"Jul 9, 2020, 8:52:09 PM",Run,1489,5.66,169,32,1482,5668.299805,7.099999905,3.824763775,92.20064545,91.60064697,255.6999969,291.2999878,17.70000076,0.010585184,,148.6659698,377,32,5878.5
3746251425,"Jul 11, 2020, 1:45:50 PM",Run,3542,12.95,176,91,3528,12951.40039,8.699999809,3.671031713,225.3896332,224.6896362,233.6999969,288.3999939,20.20000076,0.005404821,,153.5162811,871,91,13468.09961
3751537052,"Jul 12, 2020, 1:49:06 PM",Run,2215,8.07,172,40,2215,8075.200195,7.199999809,3.645688534,153.9952698,152.6952667,234.8999939,288.3999939,29.10000038,0.016098673,,146.5750122,548,40,8467.799805
3760573268,"Jul 14, 2020, 11:18:17 AM",Run,2452,8.91,177,59,2452,8918.299805,7.400000095,3.637153387,160.3403778,158.2403717,239.1000061,282,18.89999962,0.023547089,,152.6324768,603,59,9286.200195
3768141340,"Jul 15, 2020, 8:40:52 PM",Run,2207,8.21,176,61,2207,8217.400391,8.300000191,3.723334789,155.0055847,153.2055969,234.8999939,288.3999939,33.79999924,0.021904739,,154.8563995,551,61,8592.200195
3772797536,"Jul 16, 2020, 8:31:53 PM",Run,1491,5.69,179,36,1491,5694.600098,9,3.81931591,101.907135,102.5071335,235.3000031,288.3999939,33.79999924,-0.010536297,,150.6531677,377,36,5919.200195
3780610677,"Jul 18, 2020, 1:30:01 PM",Run,2993,10.77,180,81,2950,10772.5,8.699999809,3.651695013,199.0017853,199.4017792,233.6999969,288.3999939,19.10000038,-0.003713158,,154.8783569,727,81,11238.5
3785976776,"Jul 19, 2020, 1:54:07 PM",Run,1967,7.26,175,44,1935,7260.600098,8.600000381,3.752248049,125.0589218,123.4589233,234.8999939,288.3999939,23.79999924,0.022036746,,150.5269165,487,44,7543.299805
3797947314,"Jul 21, 2020, 9:36:55 PM",Run,1293,4.93,174,33,1293,4937,14.10000038,3.818252087,95.86270142,96.86270142,234.5,288.3999939,33.09999847,-0.020255215,,152.6079865,317,33,5325.899902
3800770860,"Jul 22, 2020, 1:26:32 PM",Run,2171,8.14,174,52,2152,8141.100098,8.199999809,3.783039093,154.8125916,153.0125885,234.8999939,288.3999939,23.70000076,0.022110034,,152.640152,546,52,8511.599609
3806441119,"Jul 23, 2020, 9:47:03 PM",Workout,1027,0,108,1,1027,0,0,0,0,,,,0,0,,79.58909607,55,1,
3809128025,"Jul 24, 2020, 8:20:40 PM",Run,2300,8.22,172,43,2221,8220.5,9.800000191,3.701260805,154.087326,152.587326,234.8999939,288.3999939,28.60000038,0.018247066,,147.234787,548,43,8598.299805
3815149858,"Jul 26, 2020, 1:39:40 PM",Run,2661,9.75,178,62,2661,9755.299805,9.699999809,3.666027784,172.2005463,169.3005371,234.8999939,288.3999939,19.79999924,0.029727431,,151.0087891,652,62,10158.2002
3823337242,"Jul 27, 2020, 8:06:11 PM",Run,2131,7.45,174,39,2075,7457.799805,7.599999905,3.594120502,175.644043,177.644043,233.6999969,288.3999939,22.89999962,-0.02681756,,147.0055847,503,39,7933.700195
3835255920,"Jul 29, 2020, 8:26:56 PM",Run,1873,7.07,171,38,1867,7070.200195,8.100000381,3.786930799,116.7250214,115.9250259,234.8999939,288.3999939,25,0.011315097,,148.3215332,467,38,7318.100098
3840219990,"Jul 30, 2020, 7:55:58 PM",Run,1296,4.85,169,26,1268,4854,7.800000191,3.828075647,64.52079773,63.42079926,262.2000122,291.2999878,17,0.022661723,,148.7012329,326,26,4987.200195
3848202180,"Aug 1, 2020, 12:34:10 PM",Run,3109,11.29,178,83,3065,11298.5,12.60000038,3.68629694,151.253006,141.5529938,246.8999939,296.3999939,28.60000038,0.085852101,,154.7865448,752,83,11597.09961
3853817323,"Aug 2, 2020, 1:36:53 PM",Run,2571,9.42,174,46,2566,9424,7.5,3.672642231,181.1586304,180.3586426,233.6999969,288.3999939,28.89999962,0.008488964,,146.668457,633,46,9869.700195
3865155262,"Aug 4, 2020, 8:16:41 PM",Run,2247,8.23,183,57,2175,8233.900391,7.800000191,3.785701036,154.7854004,153.7854004,234.8999939,288.3999939,21.39999962,0.012144913,,153.5142212,545,57,8602.200195
3870260714,"Aug 5, 2020, 8:32:29 PM",Run,1904,6.98,175,45,1845,6985.600098,8.300000191,3.786232948,117.4052048,115.8050003,234.8999939,288.3999939,25.70000076,0.02290426,,151.5888367,461,45,7229.399902
3879719964,"Aug 7, 2020, 8:38:07 PM",Run,1357,5.13,171,27,1357,5134,8.300000191,3.783345699,90.55557251,88.95557404,235.3000031,288.3999939,21.60000038,0.031164784,,148.1279144,341,27,5335.600098
3882669429,"Aug 8, 2020, 12:07:21 PM",Run,3142,11.75,171,75,3068,11757.2002,13.5,3.832203388,139.0616302,132.9616241,246.8999939,296.3999939,19.10000038,0.051883101,,152.7055359,772,75,12021.90039
3888523400,"Aug 9, 2020, 2:29:57 PM",Run,1815,6.6,177,36,1787,6608.399902,9,3.698041439,123.8857574,122.5857544,233.6999969,288.3999939,19.29999924,0.019671932,,148.7939911,440,36,6877
3897127069,"Aug 11, 2020, 11:53:19 AM",Run,2130,7.6,180,50,2090,7601.100098,7.5,3.636889935,175.5729523,173.7729492,233.6999969,288.3999939,31.39999962,0.023680784,,151.3722382,513,50,8058.100098
3904691994,"Aug 12, 2020, 9:00:38 PM",Run,1732,6.56,178,40,1705,6564.600098,8.199999809,3.850205183,121.8248825,120.0248795,233.6999969,288.3999939,18,0.027419796,,151.5149078,435,40,6824.899902
3918105689,"Aug 13, 2020, 9:00:11 PM",Run,1337,5.07,175,33,1337,5074.299805,7.599999905,3.795287848,89.59844208,89.3984375,235.3000031,288.3999939,36.5,0.00394143,,152.0532532,336,33,5266.299805
3918106039,"Aug 15, 2020, 2:03:19 PM",Run,3048,11.29,180,92,3048,11289.7998,8.100000381,3.704002619,202.8991699,199.7991791,233.6999969,288.3999939,21.10000038,0.027458414,,156.6955872,755,92,11747.7998
3921847053,"Aug 16, 2020, 1:42:34 PM",Run,2178,8.11,174,50,2169,8109.799805,7.599999905,3.73895812,152.2036743,151.0036621,234.8999939,288.3999939,20.70000076,0.014796913,,150.9832916,540,50,8458.5
3930654790,"Aug 18, 2020, 12:19:18 PM",Run,2200,8.08,176,54,2189,8079.600098,8.199999809,3.691000462,152.2932434,150.7932434,234.8999939,288.3999939,19.39999962,0.018565275,,152.7091217,541,54,8417.900391
3938018565,"Aug 19, 2020, 8:59:23 PM",Run,1879,6.64,177,41,1844,6640.5,9.300000191,3.60113883,123.9739761,121.1739731,233.6999969,288.3999939,22.70000076,0.042165499,,150.0138397,446,41,6924.799805
3940343277,"Aug 20, 2020, 11:57:59 AM",Run,1884,6.87,174,49,1884,6876.5,8.399999619,3.649946928,149.1833801,146.9833832,234.8999939,288.3999939,22.10000038,0.03199302,,153.9719086,462,49,7246.299805
3950509563,"Aug 22, 2020, 1:15:00 PM",Run,3591,13.36,171,83,3503,13366.7002,8.800000191,3.815786362,96.52026367,87.82026672,252.1000061,287.3999939,26.10000038,0.065087117,,150.8886871,891,83,13553.2998
